Stock Code,Company Name
OMRE,Indonesia Prima Property Tbk
PADI,Minna Padi Investama Sekuritas Tbk.
PALM,Provident Agro Tbk.
PANI,Pratama Abadi Nusa Industri Tbk.
PANR,Panorama Sentrawisata Tbk.
PANS,Panin Sekuritas Tbk.
PBID,Panca Budi Idaman Tbk.
PBRX,Pan Brothers Tbk.
PBSA,Paramita Bangun Sarana Tbk.
PCAR,Prima Cakrawala Abadi Tbk.
PDES,Destinasi Tirta Nusantara Tbk
PEGE,Panca Global Kapital Tbk.
PEHA,Phapros Tbk.
PGAS,Perusahaan Gas Negara (Persero) Tbk.
PGLI,Pembangunan Graha Lestari Indah Tbk.
PICO,Pelangi Indah Canindo Tbk
PJAA,Pembangunan Jaya Ancol Tbk.
PKPK,Perdana Karya Perkasa Tbk
PLAS,Polaris Investama Tbk
PLIN,Plaza Indonesia Realty Tbk.
PNBN,Bank Pan Indonesia Tbk
PNBS,Bank Panin Dubai Syariah Tbk.
PNIN,Paninvest Tbk.
PNLF,Panin Financial Tbk.
PNSE,Pudjiadi & Sons Tbk.
POLA,Pool Advista Finance Tbk.
POLL,Pollux Properti Indonesia Tbk.
POLY,Asia Pacific Fibers Tbk
POOL,Pool Advista Indonesia Tbk.
PORT,Nusantara Pelabuhan Handal Tbk.
POWR,Cikarang Listrindo Tbk.
PPRE,PP Presisi Tbk.
PPRO,PP Properti Tbk.
PRAS,Prima Alloy Steel Universal Tbk.
PRDA,Prodia Widyahusada Tbk.
PRIM,Royal Prima Tbk.
PSAB,J Resources Asia Pasifik Tbk.
PSDN,Prasidha Aneka Niaga Tbk
PSKT,Red Planet Indonesia Tbk.
PSSI,Pelita Samudera Shipping Tbk.
PTBA,Bukit Asam Tbk.
PTIS,Indo Straits Tbk.
PTPP,PP (Persero) Tbk.
PTRO,Petrosea Tbk.
PTSN,Sat Nusapersada Tbk
PTSP,Pioneerindo Gourmet International Tbk.
PUDP,Pudjiadi Prestige Tbk.
PWON,Pakuwon Jati Tbk.
PYFA,Pyridam Farma Tbk
